,l3cache_stress,qos,context_switches,branch_misses,branch_load_misses,ipc,cpu_migrations,page_faults,cache_references,cache_misses,LLC_loads,LLC_load_misses,LLC_stores,LLC_store_misses,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,dTLB_load_misses,dTLB_loads,dTLB_store_misses,dTLB_stores,iTLB_load_misses,node_load_misses,node_loads
30,31.0,1.0293223956043958,17012.035714285714,27084433.125,27081880.30357143,0.9133928571428571,3284.160714285714,14773.267857142857,505408763.51785713,167081536.4642857,61399923.071428575,14797818.642857144,92799496.07142857,27446769.410714287,7442563749.410714,439132401.625,71022759.53571428,5050052.196428572,7537945765.910714,2998752.5,3352191835.446429,3610804.7678571427,7505953.678571428,7403449.892857143
31,32.0,1.0249085384615386,17080.122807017542,26912388.89473684,26926090.684210528,0.9170175438596492,3065.2631578947367,14105.736842105263,505804168.8596491,163554626.10526314,61374164.80701754,14604234.43859649,93502694.92982456,27435714.157894738,7447772152.157895,444463732.61403507,70361847.68421052,4989389.596491228,7406377021.859649,3025654.596491228,3282545599.614035,3573766.210526316,7337297.49122807,7140631.52631579
32,33.0,1.0327253186813188,16983.39285714286,26692000.64285714,26689704.285714287,0.9098214285714287,3158.0535714285716,14781.714285714286,501286926.6785714,165984936.8392857,60877088.35714286,14824766.785714285,91925925.41071428,27173451.089285713,7282654874.196428,436419729.1964286,70895576.03571428,5064948.160714285,7338235723.196428,2988486.5,3265325581.892857,3572475.7321428573,7530112.714285715,7334801.339285715
33,34.0,1.0228877391304347,16923.63157894737,26829168.824561402,26802996.05263158,0.9173684210526316,3000.9122807017543,14766.052631578947,508549462.4385965,164714789.63157895,61827474.631578945,14795890.859649124,94434651.10526316,27788627.10526316,7513450493.859649,448840499.1754386,70347192.6491228,5050798.298245614,7424968390.754386,3048505.6666666665,3236802114.9298244,3556099.701754386,7316789.50877193,7192813.649122807
34,35.0,1.0524009325842698,17128.785714285714,26632780.25,26632614.98214286,0.9125000000000002,3228.7678571428573,14873.07142857143,499391481.125,163616594.32142857,60914622.16071428,14701473.607142856,89936352.5,26527165.30357143,7134826024.25,427559180.9464286,68541909.78571428,4872154.5,7058069077.392858,2879364.375,3204693011.357143,3494852.2321428573,7296356.071428572,7250958.464285715
35,36.0,1.0395853333333336,16779.42105263158,26410175.96491228,26400760.56140351,0.9138596491228069,3139.8947368421054,14340.508771929824,503304525.71929824,163215386.19298247,60764720.10526316,14809166.263157895,92774313.08771929,27224831.43859649,7378475304.649123,440860602.1754386,69262117.68421052,4930559.175438597,7253428915.035088,2995776.596491228,3235755194.368421,3532548.8421052634,7354305.578947368,7281435.368421053
36,37.0,1.0606476477272728,17010.821428571428,26218810.67857143,26225856.32142857,0.9101785714285714,3540.7321428571427,14667.964285714286,491415539.53571427,161002355.9642857,59666933.928571425,14413914.07142857,89264922.0,26248373.410714287,7086121322.392858,424526749.26785713,69169420.35714285,4886084.017857143,7143962522.214286,2934711.964285714,3189647646.125,3502891.910714286,7231085.607142857,7080078.589285715
37,38.0,1.104552611764706,16677.894736842107,25310364.50877193,25315106.12280702,0.9052631578947369,4022.0526315789475,13628.578947368422,480201362.6315789,156189068.14035088,58232288.666666664,13895028.596491229,86798415.10526316,25532672.59649123,6856369611.017544,411457182.45614034,67004158.368421055,4773939.192982456,6877348569.491228,2813937.5614035088,3105919080.631579,3422830.789473684,7034457.666666667,6807336.859649123
38,39.0,1.0394333777777778,16844.75,26490105.160714287,26489877.05357143,0.9139285714285715,3265.8035714285716,14357.214285714286,495934314.51785713,162829217.60714287,59949238.96428572,14500022.17857143,92779047.96428572,27387738.48214286,7380633572.892858,440474425.5714286,69236434.46428572,4959956.5,7300785547.714286,3011670.714285714,3227035998.625,3541003.4821428573,7320802.178571428,7195224.785714285
39,40.0,1.0834557011494252,16924.912280701756,25947107.14035088,25945601.807017542,0.9114035087719298,3631.8070175438597,14169.228070175439,482564593.45614034,157046239.84210527,58632156.8245614,14270108.122807018,89672571.98245615,26276283.89473684,7092045275.22807,425216823.4736842,68757340.36842105,4845353.929824562,7096224801.736842,2886955.3684210526,3068845424.4385967,3437244.7719298247,7049458.929824562,7027424.49122807
